,Total commits,Total Issues,Total Pull request,Total
grimoirelab-perceval-puppet,0,0,0,0
prospector,0,3,0,3
grimoirelab-manuscripts,10,0,0,10
whitepaper,6,2,4,12
grimoirelab-kidash,16,0,0,16
grimoirelab-sigils,18,0,0,18
grimoirelab-cereslib,20,0,0,20
metrics,21,0,0,21
grimoirelab-toolkit,16,1,4,21
wg-diversity-inclusion,16,3,7,26
grimoirelab-perceval-opnfv,24,1,1,26
grimoirelab-tutorial,30,0,0,30
grimoirelab-kingarthur,28,0,10,38
governance,41,0,10,51
grimoirelab-sortinghat,45,4,6,55
website,59,0,0,59
grimoirelab-kibiter,66,0,0,66
grimoirelab-perceval-mozilla,60,0,10,70
grimoirelab-hatstall,64,0,10,74
grimoirelab,78,0,0,78
grimoirelab-mordred,118,2,8,128
grimoirelab-bestiary,134,0,10,144
grimoirelab-perceval,280,0,0,280
grimoirelab-elk,298,1,9,308
